"<ID|readonly|noverify>";"<English>";"<Russian>";"<German>"
"gameMode/raid";"Raids";"Рейды";"Raids"
"gameMode/nexus";"Nexus Battles";"Битвы Нексуса";"Nexus"
"euclid";"Euclid";"Евклид";"Euclid"
"dalniy_euclid";"Euclid";"Евклид";"Euclid"
"dogorsk";"Dogorsk";"Догорск";"Dogorsk"
"dalniy_dogorsk";"Dogorsk";"Догорск";"Dogorsk"
"dogorsk_escape";"Escape from Dogorsk";"Побег из Догорска";"Flucht aus Dogorsk"
"dalniy_dogorsk_escape";"Escape from Dogorsk";"Побег из Догорска";"Flucht aus Dogorsk"
"scrapyard";"Scrapyard: Midnight";"Свалка: Полночь";"Schrottplatz: Mitternacht"
"dalniy_scrapyard";"Scrapyard: Midnight";"Свалка: Полночь";"Schrottplatz: Mitternacht"
"scrapyard_boss";"Scrapyard: Incursion";"Свалка: Вторжение";"Schrottplatz: Eindringen"
"dalniy_scrapyard_boss";"Scrapyard: Incursion";"Свалка: Вторжение";"Schrottplatz: Eindringen"
"military_base";"Military Base: Unstable Zone";"Военная база: Нестабильная зона";"Militärbasis: Instabile Zone"
"dalniy_military_base";"Military Base";"Военная база";"Militärbasis"
"military_base_statues";"Military Base: Silent Observers";"Военная база: Безмолвные свидетели";"Militärbasis: Stille Beobachter"
"dalniy_military_base_statues";"Military Base: Silent Observers";"Военная база: Безмолвные свидетели";"Militärbasis: Stille Beobachter"
"shegolskoe";"Shegolskoe";"Щегольское";"Shegolskoe"
"shegolskoe_distortion";"Shegolskoe: Distortion";"Щегольское: Искажение";"Shegolskoe: Verzerrung"
"dalniy_shegolskoe_distortion";"Shegolskoe: Distortion";"Щегольское: Искажение";"Shegolskoe: Verzerrung"
"shegolskoe_overgrowth";"Shegolskoe: Overgrowth";"Щегольское: Буйные заросли";"Shegolskoe: Überwucherung"
"dalniy_shegolskoe_overgrowth";"Shegolskoe: Overgrowth";"Щегольское: Буйные заросли";"Shegolskoe: Überwucherung"
"dalniy_shegolskoe";"Shegolskoe";"Щегольское";"Shegolskoe"
"dam";"Dam";"Дамба";"Damm"
"dalniy_dam";"Dam";"Дамба";"Damm"
"epicenter";"Epicenter";"Эпицентр";"Epizentrum"
"dalniy_epicenter";"Epicenter";"Эпицентр";"Epizentrum"
"factory";"Factory";"Завод";"Fabrik"
"factory_hive";"Factory: Hive";"Завод: Улей";"Fabrik: Schwarm"
"dalniy_factory_hive";"Factory: Hive";"Завод: Улей";"Fabrik: Schwarm"
"dalniy_factory";"Factory";"Завод";"Fabrik"
"ozernoe";"Ozernoe";"Озерное";"Ozernoe"
"ozernoe_overgrowth";"Ozernoe: Overgrowth";"Озерное: Буйные заросли";"Ozernoe: Überwucherung"
"dalniy_ozernoe_overgrowth";"Ozernoe: Overgrowth";"Озерное: Буйные заросли";"Ozernoe: Überwucherung"
"dalniy_ozernoe";"Ozernoe";"Озерное";"Ozernoe"
"park";"Park";"Парк";"Park"
"dalniy_park";"Park";"Парк";"Park"
"cargoport";"Cargo Port";"Грузовой порт";"Frachtport"
"cargoport_dark";"Cargo Port: Darkness";"Грузовой порт: Тьма";"Frachtterminal: Dunkelheit"
"dalniy_cargoport_dark";"Cargo Port: Darkness";"Грузовой порт: Тьма";"Frachtterminal: Dunkelheit"
"dalniy_cargoport";"Cargo Port";"Грузовой порт";"Frachtport"
"headquarters";"Headquarters";"Штаб";"Hauptquartier"
